,NoOfJS,NoOfCSS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,NoOfImage,HasCopyrightInfo,HasPasswordField,HasHiddenFields,HasSubmitButton,HasSocialNet,HasExternalFormSubmit,NoOfiFrame,HasFavicon,HasTitle,Title,LineOfCode,LargestLineLength,IsHTTPS,NoOfOtherSpecialCharsInURL,NoOfAmpersandInURL,NoOfDegitsInURL,NoOfLettersInURL,NoOfSubDomain,TLD,IsDomainIP,DomainLength,Domain,URLLength,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,URLSimilarityIndex,NoOfEqualsInURL,TLDLength,NoOfQMarkInURL,LetterRatioInURL,DegitRatioInURL,SpacialCharRatioInURL,label,URL
10,4,2,2,5,155,1,1,1,14,1,0,1,1,1,1,3,1,1,James Lee,4883,1028,1,7,0,0,21,1,com,0,10,www.wn.com,28,1,4,0.14,0.83,0,3,0,0.75,0.0,0.25,1,https://www.wn.com/james_lee
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,7,0,0,29,1,com,0,14,www.mylife.com,36,1,4,0.11,0.8,0,3,0,0.8055555555555556,0.0,0.19444444444444445,1,https://www.mylife.com/jimbob-morris
12,7,1,62,0,11,1,2,1,9,1,0,0,0,1,0,1,1,1,Answers - The Most Trusted Place for Answering Life's Questions,465,115293,1,8,0,0,37,1,com,0,15,www.answers.com,45,1,4,0.09,0.76,0,3,0,0.8222222222222222,0.0,0.17777777777777778,1,https://www.answers.com/topic/nathan-oliveira
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,8,0,5,42,1,com,0,16,www.fandango.com,55,1,5,0.09,0.76,0,3,0,0.7636363636363637,0.09090909090909091,0.14545454545454545,1,https://www.fandango.com/johncolicos/information/p14139
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,8,0,0,31,1,org,0,16,www.americal.org,39,1,4,0.1,0.67,0,3,0,0.7948717948717948,0.0,0.20512820512820512,1,https://www.americal.org/awards/cib.htm
15,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,1,11,1,9,72,1,com,0,14,www.legacy.com,96,1,12,0.12,0.78,2,3,1,0.75,0.09375,0.15625,1,https://www.legacy.com/obituaries/heraldtribune/obituary.aspx?n=gerard-r-pelletier&pid=147973150
16,44,4,167,1,26,1,1,1,15,0,0,0,1,1,1,1,1,1,Home | Kansas City Public Library,4386,5975,1,16,0,0,81,1,org,0,17,www.kclibrary.org,99,1,18,0.18,0.58,1,3,1,0.8181818181818182,0.0,0.18181818181818182,1,https://www.kclibrary.org/?q=event/bill-ouseley-mobsters-our-midst-civella-crime-family-kansas-city
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,10,0,0,43,1,com,0,14,www.vitals.com,53,1,8,0.15,0.76,0,3,0,0.8113207547169812,0.0,0.18867924528301888,1,https://www.vitals.com/doctors/Dr_Kevin_Mcdonald.html
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,6,0,0,22,1,com,0,19,www.ruedelamour.com,28,1,3,0.11,0.67,0,3,0,0.7857142857142857,0.0,0.21428571428571427,1,https://www.ruedelamour.com/
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,11,0,14,69,1,com,0,18,www.classmates.com,96,1,13,0.14,0.7,1,3,1,0.71875,0.14583333333333334,0.13541666666666666,1,https://www.classmates.com/directory/school/Wilder%20Penfield%20Elementary%20School?org=17868781
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,9,0,0,47,1,com,0,26,www.baseball-reference.com,56,1,8,0.14,0.57,0,3,0,0.8392857142857143,0.0,0.16071428571428573,1,https://www.baseball-reference.com/bullpen/Jimmy_Barrett
21,2,3,0,1,16,0,1,1,1,0,0,0,0,0,0,0,1,1,Media4Play,815,5533,1,13,0,7,61,1,com,0,23,www.twistysdownload.com,81,1,11,0.14,0.56,0,3,0,0.7530864197530864,0.08641975308641975,0.16049382716049382,1,https://www.twistysdownload.com/forums/music/5580-kanye-west-808s-heartbreak.html
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,10,0,5,46,1,com,0,20,www.onlineradio2.com,61,1,11,0.18,0.64,0,3,0,0.7540983606557377,0.08196721311475409,0.16393442622950818,1,https://www.onlineradio2.com/listen/Radio_Baldwin_County_1310
23,46,17,48,1,180,1,1,1,148,1,0,1,1,1,1,1,1,1,New Song: Katy Perry - E.T (Ft. Kanye West) - That Grape Juice,4782,14968,1,14,0,6,49,1,net,0,22,www.thatgrapejuice.net,69,1,11,0.16,0.48,0,3,0,0.7101449275362319,0.08695652173913043,0.2028985507246377,1,https://www.thatgrapejuice.net/2011/02/song-katy-perry-ft-kanye-west/
24,9,5,50,6,2,0,1,1,12,1,1,1,1,0,0,0,1,1,jonbolenfanpage on Myspace,1843,30629,1,6,0,0,33,1,com,0,15,www.myspace.com,39,1,3,0.08,0.7,0,3,0,0.8461538461538461,0.0,0.15384615384615385,1,https://www.myspace.com/jonbolenfanpage
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,9,0,2,30,2,com,0,24,www.ks.asklocalpages.com,41,1,8,0.2,0.64,0,3,0,0.7317073170731707,0.04878048780487805,0.21951219512195122,1,https://www.ks.asklocalpages.com/C-12.php
26,38,15,77,2,17,1,2,0,6,1,0,1,1,1,1,1,1,1,Programs Overview - Department of Mechanical & Industrial Engineering,1302,3195,1,9,0,0,38,2,ca,0,19,www.mie.utoronto.ca,47,1,6,0.13,0.52,0,2,0,0.8085106382978723,0.0,0.19148936170212766,1,https://www.mie.utoronto.ca/undergrad/skoll.php
27,17,7,14,2,9,1,3,1,28,1,0,1,1,1,0,0,1,1,Elektra Entertainment,2364,3185,1,9,1,6,72,1,com,0,25,www.roadrunnerrecords.com,91,1,11,0.12,0.59,2,3,1,0.7912087912087912,0.06593406593406594,0.14285714285714285,1,https://www.roadrunnerrecords.com/blabbermouth.net/news.aspx?mode=Article&newsitemID=160171
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,10,0,5,41,2,com,0,25,www.ca.ratemyteachers.com,56,0,5,0.09,0.62,0,3,0,0.7321428571428571,0.08928571428571429,0.17857142857142858,1,https://www.ca.ratemyteachers.com/therese-martin/37684-s
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,21,0,15,133,3,com,0,20,www.my.beta.ebay.com,171,1,8,0.05,1.0,1,3,1,0.7777777777777778,0.08771929824561403,0.13450292397660818,1,https://www.my.beta.ebay.com/wishlist/Menaka-Yakasiri/nY+sHZ2PrBmdj6wVnY+sEZ2PrA2dj6wFkYuhCpGLqAmdj6x9nY+seQ**?lid=nY+sHZ2PrBmdj6wVnY+sEZ2PrA2dg6ECk4OjDZSCoAmdj6x9nY+seQ**
30,23,12,134,3,20,1,1,1,15,1,0,0,0,1,0,0,1,1,"PANET, BERNARD-CLAUDE – Dictionary of Canadian Biography",1272,5618,1,10,0,16,28,1,ca,0,16,www.biographi.ca,56,1,16,0.29,0.55,1,2,1,0.5,0.2857142857142857,0.21428571428571427,1,https://www.biographi.ca/009004-119.01-e.php?BioId=37183
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,8,0,0,36,2,org,0,20,www.en.wikipedia.org,44,1,5,0.11,1.0,0,3,0,0.8181818181818182,0.0,0.18181818181818182,1,https://www.en.wikipedia.org/wiki/Ebullition
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,7,0,0,38,2,com,0,36,www.witnessthethickness.blogspot.com,45,1,4,0.09,0.67,0,3,0,0.8444444444444444,0.0,0.15555555555555556,1,https://www.witnessthethickness.blogspot.com/
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,7,0,0,37,2,com,0,35,www.homepilatesmachine.blogspot.com,44,1,5,0.11,0.67,0,3,0,0.8409090909090909,0.0,0.1590909090909091,1,https://www.homepilatesmachine.blogspot.com/
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,6,0,0,26,1,com,0,23,www.johnhoughtaling.com,32,1,3,0.09,0.55,0,3,0,0.8125,0.0,0.1875,1,https://www.johnhoughtaling.com/
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,11,0,0,58,2,org,0,20,www.en.wikipedia.org,69,1,7,0.1,1.0,0,3,0,0.8405797101449275,0.0,0.15942028985507245,1,https://www.en.wikipedia.org/wiki/American_Professional_Soccer_League
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,9,0,0,53,1,com,0,20,www.baseballjump.com,62,1,10,0.16,0.62,0,3,0,0.8548387096774194,0.0,0.14516129032258066,1,https://www.baseballjump.com/memorabilia-baseball/Don-Drysdale
37,4,3,1,0,6,1,1,1,0,1,0,0,1,0,0,0,1,1,MMA Linker,184,11756,1,10,0,0,42,1,com,0,17,www.mmalinker.com,52,1,5,0.1,0.7,0,3,0,0.8076923076923077,0.0,0.19230769230769232,1,https://www.mmalinker.com/wiki/index.php/Rob_Kimmons
38,2,2,112,16,31,1,1,0,194,0,0,0,1,0,0,0,1,1,"BEI San Francisco, Trademark Collection By Wyndham, San Francisco | HotelsCombined",510,467349,1,13,0,0,66,1,com,0,22,www.hotelscombined.com,79,1,12,0.15,0.62,0,3,0,0.8354430379746836,0.0,0.16455696202531644,1,https://www.hotelscombined.com/Hotel/Holiday_Inn_Civic_Center_San_Francisco.htm
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,7,0,0,54,2,com,0,52,www.northdakotahighschoolfootballhuddle.blogspot.com,61,1,8,0.13,0.67,0,3,0,0.8852459016393442,0.0,0.11475409836065574,1,https://www.northdakotahighschoolfootballhuddle.blogspot.com/
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,8,0,7,21,1,com,0,12,www.imdb.com,36,1,5,0.14,0.75,0,3,0,0.5833333333333334,0.19444444444444445,0.2222222222222222,1,https://www.imdb.com/name/nm0174981/
41,11,1,42,0,81,1,1,1,18,1,0,0,0,1,0,0,1,1,"Promo Codes, Coupons & Cash Back | Rakuten",1,161901,1,10,0,8,36,1,com,0,11,www.buy.com,54,1,9,0.17,0.8,0,3,0,0.6666666666666666,0.14814814814814814,0.18518518518518517,1,https://www.buy.com/prod/mcgarrigle-hour/60020693.html
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,8,0,7,25,1,com,0,12,www.imdb.com,40,1,4,0.1,0.75,0,3,0,0.625,0.175,0.2,1,https://www.imdb.com/name/nm1563420/news
43,5,2,131,14,3,1,2,1,10,1,0,1,1,0,0,0,1,1,Service Brake Booster message on DIC | Chevy Avalanche Fan Club of North America,4693,652,1,9,0,6,51,1,com,0,29,www.chevyavalanchefanclub.com,68,1,7,0.1,0.55,1,3,1,0.75,0.08823529411764706,0.16176470588235295,1,https://www.chevyavalanchefanclub.com/cafcna/index.php?topic=45258.0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,16,0,0,68,1,com,0,13,www.roost.com,84,1,16,0.19,0.74,0,3,0,0.8095238095238095,0.0,0.19047619047619047,1,https://www.roost.com/real-estate/street/MO/Kansas-City/Emanuel-Cleaver-II-Blvd.html
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,9,0,10,29,1,com,0,15,www.lead411.com,48,1,12,0.25,0.7,0,3,0,0.6041666666666666,0.20833333333333334,0.1875,1,https://www.lead411.com/Jamiyo_Mack_5207140.html
46,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,1,9,0,1,50,1,com,0,14,www.wchstv.com,60,1,6,0.1,0.74,0,3,0,0.8333333333333334,0.016666666666666666,0.15,1,https://www.wchstv.com/abc/8simplerules/martinspanjers.shtml
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,7,0,0,36,1,org.uk,0,34,www.laptopmotherboardrepair.org.uk,43,1,4,0.09,0.48,0,6,0,0.8372093023255814,0.0,0.16279069767441862,1,https://www.laptopmotherboardrepair.org.uk/
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,10,0,3,39,1,com,0,16,www.hockeydb.com,52,1,7,0.13,0.67,0,3,0,0.75,0.057692307692307696,0.19230769230769232,1,https://www.hockeydb.com/ihdb/stats/leagues/141.html
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,7,0,0,30,1,com,0,14,www.spokeo.com,37,0,2,0.05,0.71,0,3,0,0.8108108108108109,0.0,0.1891891891891892,1,https://www.spokeo.com/Derek+Sherwood
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,9,0,0,34,2,com,0,34,www.roger.new-age-spirituality.com,43,1,6,0.14,0.57,0,3,0,0.7906976744186046,0.0,0.20930232558139536,1,https://www.roger.new-age-spirituality.com/
51,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,1,1,isthisyour.name,348,12212,1,10,0,0,52,1,name,0,19,www.isthisyour.name,62,1,5,0.08,0.48,0,4,0,0.8387096774193549,0.0,0.16129032258064516,1,https://www.isthisyour.name/directory/fullnames/ma~burford.htm
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,11,0,0,43,1,com,0,19,www.linkpendium.com,54,1,5,0.09,0.67,0,3,0,0.7962962962962963,0.0,0.2037037037037037,1,https://www.linkpendium.com/genealogy/USA/ND/La_Moure/
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,6,0,0,25,1,com,0,22,www.kentuckycities.com,31,0,2,0.06,0.69,0,3,0,0.8064516129032258,0.0,0.1935483870967742,1,https://www.kentuckycities.com/
54,9,3,4,1,30,1,1,1,30,1,0,1,1,0,0,2,1,1,Kentucky Swingers | Ads | Swingers Clubs & Parties,1021,83741,1,6,0,0,27,1,net,0,24,www.kentuckyswingers.net,33,1,2,0.06,0.44,0,3,0,0.8181818181818182,0.0,0.18181818181818182,1,https://www.kentuckyswingers.net/
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,9,0,0,38,1,org,0,18,www.judgepedia.org,47,1,6,0.13,0.67,0,3,0,0.8085106382978723,0.0,0.19148936170212766,1,https://www.judgepedia.org/index.php/Frank_Hull
56,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,1,23,0,6,97,1,ca,0,15,www.newswire.ca,126,1,21,0.17,0.7,0,2,0,0.7698412698412699,0.047619047619047616,0.18253968253968253,1,https://www.newswire.ca/en/story/508143/channel-zero-inc-agrees-to-purchase-chch-tv-hamilton-and-cjnt-tv-montreal-from-canwest
57,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,1,13,0,8,52,1,ca,0,12,www.cylex.ca,73,1,15,0.21,0.57,0,2,0,0.7123287671232876,0.1095890410958904,0.1780821917808219,1,https://www.cylex.ca/company/ordre-des-ingenieurs-du-quebec-17311510.html
58,26,6,136,0,5,1,0,0,23,1,0,0,1,1,0,0,1,1,Gordon Poole Agency - Talent Agency and Speaker Bureau,927,8856,1,6,0,4,30,1,com,0,19,www.gordonpoole.com,42,1,6,0.14,0.72,1,3,1,0.7142857142857143,0.09523809523809523,0.19047619047619047,1,https://www.gordonpoole.com/?artistID=1750
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,6,0,0,36,1,net,0,33,www.kaiserpermanentelocations.net,42,1,3,0.07,0.69,0,3,0,0.8571428571428571,0.0,0.14285714285714285,1,https://www.kaiserpermanentelocations.net/
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,14,0,0,67,1,com,0,16,www.showcase.com,81,1,15,0.19,0.76,0,3,0,0.8271604938271605,0.0,0.1728395061728395,1,https://www.showcase.com/Oakland/Oakland-Port-Jack-London__Commercial-Real-Estate
61,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,1,9,0,6,41,1,com,0,15,www.tvguide.com,56,1,5,0.09,0.74,0,3,0,0.7321428571428571,0.10714285714285714,0.16071428571428573,1,https://www.tvguide.com/celebrities/donna-hanover/233148
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,7,0,0,21,1,com,0,19,www.gs-lacrosse.com,28,1,4,0.14,0.74,0,3,0,0.75,0.0,0.25,1,https://www.gs-lacrosse.com/
63,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,1,16,0,3,64,1,com,0,16,www.rapid4me.com,85,1,7,0.08,0.82,1,3,1,0.7529411764705882,0.03529411764705882,0.21176470588235294,1,https://www.rapid4me.com/?q=del+the+funky+homosapien+%26+tame+one+parallel+uni+verses
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,15,0,6,61,2,com,0,28,www.sharkdivers.blogspot.com,82,1,16,0.2,0.67,0,3,0,0.7439024390243902,0.07317073170731707,0.18292682926829268,1,https://www.sharkdivers.blogspot.com/2011/03/requin-blanc-carnet-de-voyage-de.html
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,7,0,0,31,1,com,0,18,www.usidentify.com,38,1,4,0.11,0.72,0,3,0,0.8157894736842105,0.0,0.18421052631578946,1,https://www.usidentify.com/l/pomerleau
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,8,0,7,21,1,com,0,12,www.imdb.com,36,1,6,0.17,0.75,0,3,0,0.5833333333333334,0.19444444444444445,0.2222222222222222,1,https://www.imdb.com/name/nm0601216/
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,7,0,0,38,2,com,0,36,www.fuckyeahrobertoluongo.tumblr.com,45,1,5,0.11,0.7,0,3,0,0.8444444444444444,0.0,0.15555555555555556,1,https://www.fuckyeahrobertoluongo.tumblr.com/
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,7,0,0,29,2,com,0,27,www.bodysnatched.tumblr.com,36,1,4,0.11,0.7,0,3,0,0.8055555555555556,0.0,0.19444444444444445,1,https://www.bodysnatched.tumblr.com/
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,6,0,0,26,1,com,0,23,www.michelshaneblog.com,32,1,4,0.12,0.61,0,3,0,0.8125,0.0,0.1875,1,https://www.michelshaneblog.com/
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,6,0,0,26,1,com,0,23,www.mattperryonline.com,32,1,3,0.09,0.61,0,3,0,0.8125,0.0,0.1875,1,https://www.mattperryonline.com/
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,13,0,7,49,3,edu,0,27,www.lawyers.law.cornell.edu,69,1,15,0.22,0.85,0,3,0,0.7101449275362319,0.10144927536231885,0.18840579710144928,1,https://www.lawyers.law.cornell.edu/lawyer/robert-f-harmon-jr-1477660
72,23,10,3,0,40,1,1,1,3,0,0,0,1,1,1,1,1,1,Home - OCHS Band,687,9300,1,6,0,0,19,1,com,0,16,www.ochsband.com,25,0,2,0.08,0.73,0,3,0,0.76,0.0,0.24,1,https://www.ochsband.com/
73,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,1,10,0,0,32,2,com,0,19,www.music.yahoo.com,42,1,6,0.14,0.74,0,3,0,0.7619047619047619,0.0,0.23809523809523808,1,https://www.music.yahoo.com/lotz-of-music/
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,7,0,6,33,1,com,0,16,www.hfboards.com,48,0,3,0.06,0.69,1,3,1,0.6875,0.125,0.1875,1,https://www.hfboards.com/showthread.php?t=573275
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,10,0,0,70,1,com,0,37,www.limitedliabilitycompanycenter.com,80,1,12,0.15,0.46,0,3,0,0.875,0.0,0.125,1,https://www.limitedliabilitycompanycenter.com/converting-partnership-to-llc.html
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,15,0,6,54,1,com,0,14,www.vertor.com,75,1,13,0.17,0.78,0,3,0,0.72,0.08,0.2,1,https://www.vertor.com/torrents/117148/Macy-Gray-The-Very-Best-Of-Macy-Gray
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,8,0,0,33,1,org.au,0,32,www.huntershill-levesinet.org.au,41,1,7,0.17,0.47,0,6,0,0.8048780487804879,0.0,0.1951219512195122,1,https://www.huntershill-levesinet.org.au/
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,7,0,0,32,1,com,0,18,www.usidentify.com,39,1,3,0.08,0.72,0,3,0,0.8205128205128205,0.0,0.1794871794871795,1,https://www.usidentify.com/l/hoernemann
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,13,0,0,56,2,com,0,20,www.wiki.answers.com,69,0,8,0.12,0.76,0,3,0,0.8115942028985508,0.0,0.18840579710144928,1,https://www.wiki.answers.com/Q/Who_was_Henrietta_Muir_Edwards_husband
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,7,0,0,37,1,com,0,13,www.spoke.com,44,1,4,0.09,0.75,0,3,0,0.8409090909090909,0.0,0.1590909090909091,1,https://www.spoke.com/profiles/KevinMcDonald
81,10,12,4,0,41,1,1,1,2,0,0,1,1,1,0,1,1,1,Kent County Democratic Party,855,8856,1,6,0,0,19,1,com,0,16,www.kentdems.com,25,0,2,0.08,0.73,0,3,0,0.76,0.0,0.24,1,https://www.kentdems.com/
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,12,0,0,85,4,com,0,45,www.freepages.genealogy.rootsweb.ancestry.com,97,1,9,0.09,0.73,0,3,0,0.8762886597938144,0.0,0.12371134020618557,1,https://www.freepages.genealogy.rootsweb.ancestry.com/~robertfamilies/QcSteGenevieveBaptisms.html
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,8,0,7,21,1,com,0,12,www.imdb.com,36,1,5,0.14,0.75,0,3,0,0.5833333333333334,0.19444444444444445,0.2222222222222222,1,https://www.imdb.com/name/nm0907630/
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,9,0,1,45,1,net,0,18,www.yohidevils.net,55,1,8,0.15,0.43,0,3,0,0.8181818181818182,0.01818181818181818,0.16363636363636364,1,https://www.yohidevils.net/alumni/attended/alumlst1.htm
85,2,1,36,36,29,1,2,1,53,0,0,1,1,0,1,1,1,1,How Chevrolet Works | HowStuffWorks,7252,62326,1,8,0,2,40,2,com,0,26,www.auto.howstuffworks.com,50,1,6,0.12,0.69,0,3,0,0.8,0.04,0.16,1,https://www.auto.howstuffworks.com/chevrolet17.htm
86,6,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,Photo Storage,1,4216,1,9,0,2,41,1,com,0,19,www.photobucket.com,52,1,4,0.08,0.64,0,3,0,0.7884615384615384,0.038461538461538464,0.17307692307692307,1,https://www.photobucket.com/images/marilyn%20monroe/
